substrat_code,Bez_ST,Kurz_NT,long,base_initial,Initial,x2,Reaktion,Genese,genesecode,ausgangssubstrat,chemie_gg_code,Festgestein,geomorphologie,metamorphie,Beschreibung,Boden
234,BlBlockhalden,BlBa,Blockhaldenbasisch,B,B-,B,5,Bl,5,Bl,2,,Blockschutt,,aldenausbasischemGrobblockmaterial(Gruengesteine),
235,BlBlockhalden,BlDo,BlockhaldenDolomit/Hartkalk,K,K-,K,6,Bl,5,Bl,4,,Blockschutt,,BlockhaldenausDolomitenundRiffkalken,
108,MoBBlockMoraenen,MoB-,,,,,,Mo,1,Mo,,,Moraene undifferenziert,,,
113,MoBBlockMoraenen,MoMB,BlockMoraenensilik.-karb.arm,M,M-,M,2,Mo,1,Mo,3,,Moraene undifferenziert,,"BlockMoraenensilikatisch-karbonatisch(rueckzugsstadienanTrogschulternundinKaren),feinbodenarmundgrobskelettreich",
118,MoBBlockMoraenen,MoBB,BlockMoraenenbasisch-kalkfrei,B,B-,B,5,Mo,1,Mo,2,,Moraene undifferenziert,,BlockMoraenenausbasenreichenSilikatgesteinen,
123,MoBBlockMoraenen,MoSB,BlockMoraenensilikatisch-sauer,S,S-,S,4,Mo,1,Mo,1,,Moraene undifferenziert,,"MoraenenausSilikatbloecken(intermediaereu/osaureSilikatgesteine),rueckstands-/tonarm,sandig-durchlaessig(i.d.R.LokalMoraenenzentralalpinerHerkunft)",
128,MoBBlockMoraenen,Mo?,,,,,,Mo,1,Mo,,,Moraene undifferenziert,,,
133,MoBBlockMoraenen,MoKB,BlockMoraenenkarbonatisch-feinmaterialarm,K,K,K,6,Mo,1,Mo,4,,Moraene undifferenziert,,"Moraenenausuew.Karbonatbloecken,rueckstands-/tonarm,(i.d.R.LokalMoraenenkalkalpinerHerkunftinreinenDolomit-/Hartkalkgebieten)",
134,MoBBlockMoraenen,MoDB,BlockMoraenendolomitisch,K,K-,K,6,Mo,1,Mo,4,,Moraene undifferenziert,,BlockMoraenenausDolomitenundHartkalken(=BlK-),
220,OrgOrganischesSubstrat,Org,OrganischesSubstrat,O,O,O,7,Org,11,Org,5,,Moorablagerung,,"Torf,Moore,Vernaessungen,sumpfigeBereiche/Wiesen(inmanchenGeologischenKartenkartiert)","Anmoor-GleyeoderNieder-,Uebergangs-bisHochmoore"
240,RuRutsch-/Erosionsmassen,,,,,,,Rutsch,20,Ha,,,Rutschmasse,,,
250,AnAnthropogenesMaterial,,,,,,,Anthr,6,Anthr,,,Anthropogen,,,
252,KiXKies/Schotterunbekannt(GIS),,,,,,,Ki,12,Ki,,,Alluviale Ablagerung,,,
253,SwXSchwemmkegelunbekannt(GIS),,,,,,,Schwemm,15,Ki,,,Alluvialer Schwemmfaecher,,,
254,HaXHangschuttunbekannt(GIS),,,,,,,Ha,2,Ha,,,Hangschutt,,,
251,MoXMoraenenunbekannt(GIS),,,,,,,Mo,1,Mo,,,Moraene undifferenziert,,,
255,BlXBlockschuttunbekannt(GIS),,,,,,,Bl,5,Bl,,,Blockschutt,,,
0,Seen/Gletscher,,,,,,,See,19,H2O,,,See,,,
